id;created_by;area;total_score;created_at
188;5;2;93.00;2023-02-08
189;167;2;95.50;2023-02-08
190;169;2;100.00;2023-02-08
191;169;2;100.00;2023-02-08
192;169;2;100.00;2023-02-08
193;169;2;100.00;2023-02-08
194;91;2;95.50;2023-02-09
195;27;2;100.00;2023-02-09
196;167;2;100.00;2023-02-09
197;169;2;100.00;2023-02-10
198;169;2;100.00;2023-02-10
199;169;2;100.00;2023-02-10
200;5;2;94.00;2023-02-10
201;167;2;100.00;2023-02-09
202;91;2;97.00;2023-02-11
203;169;2;100.00;2023-02-11
204;169;2;100.00;2023-02-11
205;169;2;100.00;2023-02-11
206;27;2;94.00;2023-02-11
207;27;2;91.00;2023-02-11
208;167;2;100.00;2023-02-11
209;169;2;100.00;2023-02-12
210;27;2;91.00;2023-02-12
211;169;2;100.00;2023-02-12
212;27;2;94.00;2023-02-12
213;6;2;72.00;2023-02-13
214;5;2;94.00;2023-02-12
215;169;2;100.00;2023-02-13
216;27;2;83.50;2023-02-13
217;91;2;95.50;2023-02-13
218;5;2;100.00;2023-02-13
219;169;2;100.00;2023-02-14
220;169;2;100.00;2023-02-14
221;27;2;91.00;2023-02-14
222;27;2;88.00;2023-02-14
223;5;2;100.00;2023-02-14
224;169;2;100.00;2023-02-15
225;169;2;100.00;2023-02-15
226;169;2;100.00;2023-02-15
227;19;2;100.00;2023-02-15
228;6;2;92.50;2023-02-15
229;167;2;100.00;2023-02-16
230;169;2;100.00;2023-02-17
231;91;2;97.00;2023-02-18
232;19;2;100.00;2023-02-17
233;167;2;100.00;2023-02-18
234;169;2;94.00;2023-02-18
235;169;2;100.00;2023-02-18
236;169;2;100.00;2023-02-18
237;27;2;89.50;2023-02-18
238;91;2;97.00;2023-02-19
239;27;2;100.00;2023-02-18
240;169;2;100.00;2023-02-20
241;169;2;100.00;2023-02-20
242;91;2;97.00;2023-02-20
243;167;2;100.00;2023-02-20
244;167;2;100.00;2023-02-21
245;91;2;95.50;2023-02-22
246;169;2;100.00;2023-02-22
247;169;2;100.00;2023-02-22
248;167;2;100.00;2023-02-22
249;167;2;100.00;2023-02-23
250;169;2;100.00;2023-02-24
251;169;2;100.00;2023-02-24
252;169;2;100.00;2023-02-24
253;91;2;95.50;2023-02-24
254;167;2;100.00;2023-02-24
255;27;2;100.00;2023-02-25
256;169;2;94.00;2023-02-25
257;169;2;100.00;2023-02-25
258;169;2;100.00;2023-02-25
259;169;2;100.00;2023-02-26
260;169;2;100.00;2023-02-26
261;118;2;87.00;2023-02-25
262;118;2;93.00;2023-02-25
263;118;2;93.00;2023-02-25
264;64;2;67.00;2023-02-26
265;124;2;100.00;2023-02-26
266;96;2;67.00;2023-02-26
267;96;2;94.00;2023-02-26
268;96;2;82.00;2023-02-26
269;166;2;88.00;2023-02-26
270;29;2;97.00;2023-02-27
271;166;2;82.00;2023-02-27
272;91;2;98.50;2023-02-27
273;91;2;97.00;2023-02-28
274;91;2;97.00;2023-03-01
275;166;2;94.00;2023-03-02
276;166;2;88.00;2023-03-02
277;169;2;98.50;2023-03-02
278;169;2;100.00;2023-03-02
279;166;2;94.00;2023-03-02
280;169;2;100.00;2023-03-03
281;166;2;67.00;2023-03-03
282;166;2;88.00;2023-03-03
283;91;2;97.00;2023-03-03
284;169;2;100.00;2023-03-03
285;166;2;82.00;2023-03-04
286;27;2;94.00;2023-03-04
287;166;2;77.50;2023-03-05
288;118;2;91.00;2023-03-05
289;118;2;97.00;2023-03-05
290;118;2;97.00;2023-03-05
291;118;2;87.00;2023-03-05
292;118;2;87.00;2023-03-04
293;118;2;93.00;2023-03-04
294;118;2;93.00;2023-03-04
295;91;2;89.50;2023-03-05
296;132;2;80.50;2023-03-05
297;166;2;82.00;2023-03-06
298;169;2;100.00;2023-03-05
299;169;2;100.00;2023-03-05
300;169;2;100.00;2023-03-05
301;118;2;93.00;2023-03-01
302;118;2;93.00;2023-03-01
303;118;2;93.00;2023-03-01
304;118;2;93.00;2023-03-01
